Title,Description
Advocatus Diaboli,"(First mentioned in Dreamscapes, Memories, and Nightmares (Pt. 1))
(Requires a built Memory Palace) 
**Advocatus Diaboli**: A technique that allowed Snape to manifest a true secondary personality, one that was neither based on his own nor created from scratch. The Advocatus could give impartial advice and opinion on everything."
Perceptual Dilation / Time Dilation ,"(First mentioned in Home for the Holidays)
(Needs at least 2nd level mastery) **Perceptual Dilation** or ""*Fixing the Mind's Gaze Betwixt the Seven Beats of the Heart*"": 
This technique slows down your subjective awareness of time, allowing you to study surroundings more thoroughly and make decisions more efficiently. Can only be maintained for a duration equal to seven beats of the Occlumen's heart. "
Tabula Rasa (TR),"(From The Fall of the House of Potter (pt 2))
**Tabula Rasa**: A charm/curse invented to provide a humane alternative to the death penalty. 
Totally erases the subject's memories and eliminates their ability to make new ones. Virtually lobotomizes the subject. 

• Wizarding Australia uses it to ""psychically execute"" criminals convicted of capital crimes. They call it **Death of Personality**.

• Rookwood using incredibly advanced levels of occlumency has made him effectively immune to mind-alteration, emotional-manipulation, and memory-altering charms and potions of every kind. We also know that he is entirely immune to the Tabula Rasa. 

• It is possible that he created at least 49 thought-streams while serving time in Azkaban. Using this 49-stream matrix he is able to generate and implant false personalities through some combination of wanded magic and Legilimency instead of his former tactic of implanting them slowly over the course of months through his cursed books. 

• As long as Rookwood is free, the proliferation of sleeper-agents secretly loyal to Voldemort is a concern. [See More](https://prince-of-slytherin.fandom.com/wiki/Augustus_Rookwood ""Tip Toe Through the Tulips"")"
Cryptohydron and Time-Turner (CATT),"(From The Hunting of Sirius Black (Conclusion) AN5)
The **Cryptohedron** is a four-dimensional hypercube, and its changing shape is actually its three-dimensional shadow as it rotates, it houses the **Time-Turner** which is described as a glass tube that twists and turns back on itself, muggles would call it a Klein bottle. 

• The Cryptohedron's purpose is to identify the one person who can open it and direct the Unspeakables to them at the appointed time so it can be opened and the Time-Turner released. Both Time-Turner and container will be created at some point in the future and then sent back to the distant past. [See More](https://prince-of-slytherin.fandom.com/wiki/Time-Turner ""Time is an illusion to help things make sense"")"
Soul Bond Curse (SBC),"(From Potters and Blacks)
**Soul Bond**: ""A former Lord of House Potter, did *something*. Powerful *highly illegal* magic. The spell he casted acted as a curse on the Potter line designed to eliminate the possiblity of bad marriages to unworthy witches. It ensures that each Potter male will be drawn to the ideal marriage prospect — whatever Fate decided that meant in each successive generation — at which point he would fall hopelessly in love with her"". "
The Vault,"(First mentioned in Happy Birthday, Harry and Jim!) 
As a result of powerful and unnatural magics unleashed in 1927 (see `qd 7`), the place known as *Cimetière du Père-Lachaise*, near the Lestrange Mausoleum, became magic-proof. 

Inside there is **The Vault**, a large box roughly 10x10 meters, and is coated with a thin layer of orichalcum that is 65% pure. There is a single door on one side that resembles a bank vault door. It has been used by the Zabini family for decades for their most important divinations. It is a room no magic known can penetrate, standing in the middle of a dead zone where no magic can function. It was used by Zabini to read Harry's fortune in Book 4 in order to keep Fate itself from knowing about the reading. "
1927,"(From Happy Birthday, Harry and Jim!)
In 1927, Gellert Grindelwald did something extraordinarily evil, but also extraordinary from a magical perspective. And in response, Nicolas Flamel did something equally extraordinary, again magically speaking. The aftereffects of that night affected *Cimetière du Père-Lachaise* and the Lestrange Mausoleum making it magic-proof. This might roughly align with Crimes of Grindelwald where Grindelwald rallies his followers in the Lestrange Mausoleum [See More](https://harrypotter.fandom.com/wiki/1927)"
Early Warning Office / DoM Chimes,"**The Early Warning Office**: contains the 57 Chimes, which alert the Unspeakables to the events occuring in Magical Britain. According to Unspeakable 029, Broderick Bode, many of them were warnings of fairly innocuous events, and the most banal simply duplicated the warning systems of other departments as backups, whereas other chimes were less weird and more nightmarish. [See More](https://prince-of-slytherin.fandom.com/wiki/Early_Warning_Office)

Common Department Abbreviations: 
• Department of Mysteries (DoM)
• Ministry of Magic / Minister of Magic (MoM)
• Department of Magical Law Enforcement (DMLE)
• Department of Magical Games and Sports (DMGS)
• Department Misuse of Muggle Artifacts  (MMA)
"
The Ewer of Hufflepuff,"(From The Riddle of the Diary)
**The Ewer of Hufflepuff**: created simultaneously with Slytherin's Basilisk will produce one full dose of the Restoration Potion every seventeen minutes."
PoS Horcruxes / Horcrux,"(From Three Princes)
For the full list (see `qd Known Horcruxes`)

A horcrux is a soul anchor. Creating a **horcrux** is esoteric magic, you must kill someone who did nothing to wrong you and you show no regret for having done so. That destabilizes your soul in such a way that it allows you to shear off a portion of it and store it inside a prepared magical object.. To *keep* a horcrux, you have to maintain a certain mindset constantly for the rest of your life and even *after death*. You must believe with absolute certainty that out of the entire human race, your life is the only one with any value. 

• In Regulus' words, ""If there is a single man, woman, or child in the entire world who you might refrain from brutally murdering in order to make a horcrux, then you would never be able to make a horcrux at all. Moreover, if something ever happened to cause you to feel that degree of empathy for anyoone else, any of your existing horcruxes would lose their soul-anchoring properties""

• After creating a horcrux you also gain access to whatever magical properties the object originally had even if the object isn't in your possession. If he horcux gets destroyed you permanently gain whatever those powers were. "
Ley Lines,"**Ley Lines**: Invisible, intangible, and largely theoretical lines that criss-cross the whole planet. Can't actually be detected themselves, but the places where they connect are magically reactive. It is possible to do high level magic more easily than other locations and works spells whose results will last infinitely. 

• Hogwarts, the Ministry of Magic, Diagon Ally, and 12 Grimmauld Place are located at a junction of ley lines.

• The British Isles possess an unusual number of such junctions and an extremely unusual number of junctions in which more than two ley lines intersect. That's why the original wizards came here from Rome in the first place. It's also why Magical Britain has influence over the rest of the magical world that's somewhat out of proportion to our population and the relative military and economic strength of the Muggle nation within which we reside. When push comes to shove, Britain can generate more raw magical power than all but a few of the other wizarding nations."
Orichalcum,"(First mentioned in The Birthday Part (Pt 1))
**Orichalcum**: An alchemically-produced alloy of gold and some other metal, usually copper or aluminum but sometimes silver or platinum. It's magic resistant, and if it's refined pure enough, it can slice through shield spells. 

• Commercially available orichalcum is usually rated at about 50% pure. If you're willing to spend a fortune, orichalcum that is 65% pure can be obtained. About sixty years ago, Nicolas Flamel produced approximately twenty grams of orichalcum that was 75% pure, and he declared that further refinement beyond that point was absolutely impossible.

• The box containing The Ring was made up of **>85%** pure orichalcum. There is literally not enough galleons in Wizarding Britain to pay for such purity. Withstood fiendfyre without so much as a scratch. Can only be opened by Harry speaking parseltongue. "
